Instance-Type , Memory , CPUs , Physical Processor , Network Performance , Linux On Demand cost , Linux Reserved cost
r5d.4xlarge , 128.0 GiB , 16 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $840.96 monthly , $530.71 monthly
r5d.8xlarge , 256.0 GiB , 32 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $1681.92 monthly , $1061.42 monthly
r5d.large , 16.0 GiB , 2 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $105.12 monthly , $66.43 monthly
r5d.metal , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $5045.76 monthly , $3184.26 monthly
r5d.xlarge , 32.0 GiB , 4 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $210.24 monthly , $132.86 monthly
r5dn.12xlarge , 384.0 GiB , 48 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 50 Gigabit , $2925.84 monthly , $1846.17 monthly
r5dn.16xlarge , 512.0 GiB , 64 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 75 Gigabit , $3901.12 monthly , $2461.56 monthly
r5dn.24xlarge , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , $5851.68 monthly , $3692.34 monthly
r5dn.2xlarge , 64.0 GiB , 8 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $487.64 monthly , $308.06 monthly
r5dn.4xlarge , 128.0 GiB , 16 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $975.28 monthly , $615.39 monthly
r5dn.8xlarge , 256.0 GiB , 32 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 25 Gigabit , $1950.56 monthly , $1230.78 monthly
r5dn.large , 16.0 GiB , 2 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $121.91 monthly , $76.65 monthly
r5dn.metal , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , unavailable , unavailable
r5dn.xlarge , 32.0 GiB , 4 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $243.82 monthly , $154.03 monthly
r5n.12xlarge , 384.0 GiB , 48 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 50 Gigabit , $2610.48 monthly , $1644.69 monthly
r5n.16xlarge , 512.0 GiB , 64 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 75 Gigabit , $3480.64 monthly , $2192.92 monthly
r5n.24xlarge , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , $5220.96 monthly , $3289.38 monthly
r5n.2xlarge , 64.0 GiB , 8 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $435.08 monthly , $273.75 monthly
r5n.4xlarge , 128.0 GiB , 16 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $870.16 monthly , $548.23 monthly
r5n.8xlarge , 256.0 GiB , 32 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 25 Gigabit , $1740.32 monthly , $1096.46 monthly
